"Metric","Value"
"Total Revenue","275358.45"
"Total Orders","14"
"Average Order Value","19668.460714285717"
"Total Items Sold","65"
"Total Discount","11765"
"Total Tax","1374.45"

"Top Products"
"Product","Units Sold","Revenue"
"mobile","4","191000"
"laptop","1","49150"
"guide","5","19700"
"A4 Copier Paper","3","4365"
"face wash","11","4265"
"Steel Water Bottle","4","2600"
"oil","9","1345"
"Lemon Iced Tea","17","1277.5"
"Glass Food Container Set","1","917.7"
"Gel Pen Set","2","242"

"Top Customers"
"Customer","Orders","Total Spend","Average Order Value"
"devi","1","191000","191000"
"sdfssfv","1","49150","49150"
"gowri","1","19700","19700"
"patel sharma","1","4365","4365"
"bhavan","1","4265","4265"
"Diya Iyer","2","2768.25","1384.125"
"reddy","1","1345","1345"
"Ananya Gupta","1","1120","1120"
"Rohan Patel","1","917.7","917.7"
"Kabir Mehta","2","328","164"
